targetId,targetName,comparatorId,comparatorName,targetSubjects,comparatorSubjects,mu,sigma,ease,easeLb,easeUb
793143,Semaglutide,1559684,Glyburide,334207,10556,0.03523854942540667,0.25736790590923375,0.21150998905553098,0.1528704447755005,0.29632007807906935
793143,Semaglutide,1560171,Glipizide,318536,90060,0.023855447275231638,0.19114453628058944,0.15583142201140854,0.1183913372344616,0.21062408474262884
793143,Semaglutide,1580747,Sitagliptin,316000,91844,0.011783638916657499,0.11321662325795998,0.09229591448858732,0.06838474959906593,0.1296425774814831
793143,Semaglutide,1583722,Exenatide,332727,11370,-0.03354580338719864,0.13055661965960114,0.11086009946664066,0.061929272569667626,0.17346058273290832
793143,Semaglutide,1597756,Glimepiride,324010,59053,-0.004201637667643437,0.15475442916008625,0.12535553344720807,0.09192348258545735,0.17612432764913666
793143,Semaglutide,40166035,Saxagliptin,335905,2026,-0.07504481106968837,0.0741248613448094,0.10987858331056732,0.025404123429545677,0.24846525115310603
793143,Semaglutide,40170911,Liraglutide,326376,31237,-0.09323378305197866,0.06545437346813038,0.09961413311665135,0.06390101258908598,0.145425418184286
793143,Semaglutide,40239216,Linagliptin,331978,22934,0.05044200177237843,0.08207956917529127,0.07978391945264551,0.04932096968783517,0.1206447588207411
793143,Semaglutide,43526465,Canagliflozin,332721,13117,-0.0275874179699184,0.06552435276011248,0.06046774774272645,0.008243213951049766,0.11433228989620581
793143,Semaglutide,44785829,Dapagliflozin,312354,96405,0.03073245702913069,0.13193448586962078,0.10976039485088585,0.0826490683248422,0.15153190167118336
793143,Semaglutide,45774435,Dulaglutide,310890,122293,-0.012748216753461532,0.08154015344203167,0.06694942500096146,0.04955910928669316,0.09109670450973617
793143,Semaglutide,45774751,Empagliflozin,297337,171331,0.024419295268766676,0.10798940160016544,0.08970338049422111,0.06752004682778989,0.1209624370572846
1559684,Glyburide,1560171,Glipizide,172950,373168,-0.3188045413114081,0.42834155619931874,0.43503744895899277,0.3600606323440856,0.5309927910820837
1559684,Glyburide,1580747,Sitagliptin,114461,450429,-0.14975284946610218,0.30272539404466964,0.2725888976771502,0.22091931327391912,0.34024468703416355
1559684,Glyburide,1583722,Exenatide,138451,146941,-0.08667051468770522,0.2621077742032333,0.22297048413133824,0.17943453174189394,0.282193126782206
1559684,Glyburide,1597756,Glimepiride,176004,320340,-0.3181881729324674,0.4044643712987228,0.42036235705595004,0.3475827451105822,0.5101507592423773
1559684,Glyburide,40166035,Saxagliptin,84836,75887,0.07393133222963126,0.23990753668407797,0.20325276400185555,0.14564600823199836,0.28266516308920453
1559684,Glyburide,40170911,Liraglutide,78385,168952,-0.20068029402866222,0.28109848365878437,0.2818708968395074,0.22737198931947145,0.35443921276850676
1559684,Glyburide,40239216,Linagliptin,61257,77732,-0.14808428341805552,0.3030506234848624,0.2734153527274088,0.2164586125509127,0.3483427745905925
1559684,Glyburide,43526465,Canagliflozin,35964,114553,-0.06327765806490745,0.18483153224279333,0.15854821871330316,0.11956701801561676,0.21189076979811716
1559684,Glyburide,44785829,Dapagliflozin,29756,176419,0.04793696950860279,0.2778953386253531,0.22797628471468112,0.17127862122630444,0.30495852968147386
1559684,Glyburide,45774435,Dulaglutide,24475,189123,0.015431303991829542,0.33366963755175383,0.2700128784662563,0.19619427840027837,0.3756375245018906
1559684,Glyburide,45774751,Empagliflozin,25560,250745,0.05723257492800316,0.3322358274611223,0.27235033532996344,0.20291009970737495,0.366274630187428
1560171,Glipizide,1580747,Sitagliptin,297459,430888,0.040451266398071097,0.16074828372113967,0.1336881838563595,0.10465649409312316,0.17395200299724367
1560171,Glipizide,1583722,Exenatide,345524,142212,0.18049475899799355,0.38898455596485837,0.3458350215860708,0.27639554030424174,0.43565141426142207
1560171,Glipizide,1597756,Glimepiride,374343,316214,-0.02426410154029097,0.10598200460225936,0.08794309565043035,0.06780083021251859,0.11743128889261745
1560171,Glipizide,40166035,Saxagliptin,275631,74004,0.3006532290412188,0.5770955961002284,0.5250127279920569,0.42663452020361725,0.6570144401795361
1560171,Glipizide,40170911,Liraglutide,264343,162482,-0.06523573362904701,0.2228432173488213,0.18740121518040165,0.14673666669871066,0.24197478250945825
1560171,Glipizide,40239216,Linagliptin,237235,73584,-0.039467486181987796,0.13681551551054982,0.11544753425498433,0.088161566084491,0.15248209757663655
1560171,Glipizide,43526465,Canagliflozin,187143,110866,-0.0317750975473888,0.26158803080902665,0.21258634619765182,0.16234345030884634,0.28284339146705495
1560171,Glipizide,44785829,Dapagliflozin,167927,167336,0.037251843386296064,0.151710754836557,0.12631837399681434,0.09454974458009424,0.1706607270860836
1560171,Glipizide,45774435,Dulaglutide,150750,177466,0.006599357555893047,0.23945679071524759,0.19326661703534564,0.14382704088991405,0.2617987962956825
1560171,Glipizide,45774751,Empagliflozin,151985,234288,0.06266653277555231,0.22025513017949158,0.18469614586659322,0.13792698429945727,0.2473845270617696
1580747,Sitagliptin,1583722,Exenatide,453614,107554,0.03866869487638917,0.1996827328455129,0.1642597890564974,0.1265883228606457,0.21512208455597936
1580747,Sitagliptin,1597756,Glimepiride,431771,246716,-0.04638789400061286,0.07085748001490988,0.06899406394573426,0.05231789708533641,0.09232126035448696
1580747,Sitagliptin,40166035,Saxagliptin,348268,72136,0.2872880811774101,0.5117392675523504,0.4741757474296553,0.3838834451489288,0.5909262236111721
1580747,Sitagliptin,40170911,Liraglutide,336387,154851,-0.08006032828023422,0.13766226757014907,0.12919823496060334,0.10284578463325689,0.16422413716616724
1580747,Sitagliptin,40239216,Linagliptin,298424,68607,-0.03685059601276397,0.06383931581691976,0.06054436348264014,0.03814992498354042,0.08908827878702508
1580747,Sitagliptin,43526465,Canagliflozin,222801,104525,-0.02347823815695216,0.2260338834494034,0.1833636764453701,0.14051821320255264,0.24133370930145182
1580747,Sitagliptin,44785829,Dapagliflozin,201499,158312,0.051415353149840005,0.09378086854466088,0.08699484718987116,0.05992622748371712,0.12389867716671299
1580747,Sitagliptin,45774435,Dulaglutide,181012,170078,-0.0029311822641666296,0.12445812443560605,0.10066095218527882,0.07029649744591948,0.14796166060391824
